id_provincia,provincia,Hombres,Mujeres
101,Álava,81.7,86.47
102,Albacete,80.3,85.79
103,Alicante,79.96,85.36
104,Almería,78.68,84.1
105,Asturias,79.65,85.14
106,Ávila,81.43,85.53
107,Badajoz,79.55,85.12
108,"Balears, Illes",80.19,85.64
109,Barcelona,80.95,86.24
110,Bizkaia,80.66,85.92
111,Burgos,81.05,86.89
112,Cáceres,80.11,85.05
113,Cádiz,78.75,84.16
114,Cantabria,80.43,85.57
115,Castellón,79.82,85.41
116,Ceuta,77.95,81.45
117,Ciudad Real,80.25,85.67
118,Córdoba,79.02,84.85
119,"Coruña, A",80.13,85.99
120,Cuenca,80.96,85.35
121,Gipuzkoa,80.37,86.35
122,Girona,80.42,85.68
123,Granada,80.1,85.23
124,Guadalajara,81.91,85.58
125,Huelva,78.7,84.57
126,Huesca,80.13,86.02
127,Jaén,79.03,84.44
128,La Rioja,80.46,86.0
129,León,80.45,86.18
130,Lleida,80.27,85.92
131,Lugo,80.74,85.8
132,Madrid,82.08,87.11
133,Málaga,79.66,84.62
134,Melilla,79.22,83.84
135,Murcia,79.32,84.85
136,Navarra,81.05,86.67
137,Ourense,80.58,86.64
138,Palencia,78.98,85.87
139,"Palmas, Las",79.19,83.98
140,Pontevedra,80.49,85.87
141,Salamanca,81.55,86.67
142,Santa Cruz de Tenerife,79.38,84.62
143,Segovia,81.77,87.21
144,Sevilla,78.97,84.42
145,Soria,80.82,86.12
146,Tarragona,80.22,85.56
147,Teruel,80.28,86.47
148,Toledo,81.34,86.26
149,Valencia,79.76,84.81
150,Valladolid,81.48,86.63
151,Zamora,80.93,86.53
152,Zaragoza,80.22,85.86
